split_Ordis_Voice_Line_nosilence_000|Operator, Or this wonders, what are you thinking about? Operator, I've run diagnostic regressions. All systems nominal. You don't need to thank me. Or this is how... Agree. Hmm, I may require maintenance after all.
split_Ordis_Voice_Line_nosilence_001|Operator, are you enjoying the view? Do you remember the old war operator? Or does seems to have misplaced those memories? Operator, the system needs you. Will you begin another mission? I've been thinking, Operator.
split_Ordis_Voice_Line_nosilence_002|I thought you'd want to know. Operator, did you hear that? It said... Cosmic background radiation is a riot! Operator, were you visualizing a bloody battle? Me too!
split_Ordis_Voice_Line_nosilence_003|Stand by while I analyze the intelligence profiles of the Grineer. Error, not a number. Did the operator enjoy this criticism? Everything in Ordis, operator, is that a pun?
split_Ordis_Voice_Line_nosilence_004|Hmm, I will attempt to bypass this fault. Or this has been counting stars, operator. All accounted for. Sorry, artists will play with the volume of...
split_Ordis_Voice_Line_nosilence_005|Do you know which finger the corpus used to count their money? The Index. Operator, or this has been interfacing with the Foundry's AI Precepts. You could say we forged a new connection.
split_Ordis_Voice_Line_nosilence_006|Knock, knock! Now who would be knocking all the way out here? Operator, I don't think you should answer that. Operator, the sentience are not laughing at my jokes.
split_Ordis_Voice_Line_nosilence_007|they adapt to my humor? Operator, orders is sorry. Happy! To report that all my good jokes are gone. Operator, orders is picking up a distress signal.
split_Ordis_Voice_Line_nosilence_008|Wait, no, it's just the corpus peddling their wares again. Get off the emergency frequency! Or this keeps a tidy ship, and is therefore reluctant to allow animals on board. In Ordis...
split_Ordis_Voice_Line_nosilence_009|experience animals do not eat so much as reload. Or does it went mad for three milliseconds when he realized that each time he cleans something he makes something else dirty?
split_Ordis_Voice_Line_nosilence_010|I go again. When in Cetus do not drink the kabuchi, you are incapable of producing the hydraulic effort required to unstick your tongue from the roof of your mouth the following morning. With the last upon the planes outside the...
split_Ordis_Voice_Line_nosilence_011|You may derive sustenance from mineral dense termite droppings, which the Austrons call Ito Da. You may also never form a consonant again, but at least you will not be dead. Operator, Otis has determined the secrets to happiness.
split_Ordis_Voice_Line_nosilence_012|a combination of heightened dopamine levels and a terrible memory. You're welcome! Or just find it odd that humans only get a few years to live. Yet spend most of that time... Shwing every-
